,adc,jg,mid,supp,top,win
227,67,48,134,16,57,True
228,18,24,115,432,98,False
229,498,77,134,497,58,True
230,110,104,121,412,516,False
231,18,62,34,40,133,True
232,222,64,90,267,75,False
233,81,113,84,412,58,False
234,498,141,4,432,27,True
235,81,19,69,432,92,True
236,202,254,245,89,12,True
237,22,5,157,25,17,False
238,222,31,103,30,41,True
239,133,120,157,40,6,False
240,498,141,101,16,24,True
241,67,113,134,43,92,False
242,51,24,245,201,62,False
243,21,11,103,25,98,True
244,29,64,4,267,75,False
245,236,60,161,12,24,True
246,110,64,99,412,90,True
247,18,19,85,201,157,False
248,21,24,61,45,25,True
249,498,141,103,432,114,True
250,29,64,134,30,75,False
251,110,33,34,16,157,False
252,96,141,238,117,27,True
253,222,141,236,432,157,False
254,21,56,13,40,86,True
255,22,3,9,37,74,True
256,51,32,63,53,164,False
257,110,11,4,40,80,True
258,67,131,103,59,75,False
259,18,24,157,111,74,False
260,222,24,15,412,85,True
261,429,11,92,37,102,False
262,18,19,157,53,8,True
263,222,516,92,37,68,False
264,236,113,245,89,14,False
265,81,141,34,40,58,True
266,18,62,134,117,68,False
267,498,78,136,99,92,True
268,236,64,45,16,122,False
269,51,28,84,40,36,True
270,429,141,238,412,236,True
271,17,28,133,101,39,False
272,236,113,61,89,223,True
273,29,76,4,201,27,False
274,18,102,105,111,41,True
275,51,33,99,44,75,False
276,67,76,103,16,86,True
277,498,223,122,497,13,False
278,18,102,157,201,90,True
279,29,79,55,25,58,False
280,498,102,91,53,41,True
281,51,62,115,412,245,False
282,117,19,157,80,12,False
283,222,11,61,53,35,True
284,21,32,163,40,36,False
285,29,48,82,26,240,False
286,51,141,105,16,30,False
287,222,5,43,89,62,True
288,81,254,105,57,240,True
289,236,102,45,111,150,False
290,22,57,8,412,236,True
291,51,141,90,25,98,False
292,236,141,8,40,98,True
293,222,5,99,16,516,False
294,236,154,112,40,10,True
295,67,59,45,53,68,False
296,29,79,157,37,57,True
297,18,28,91,44,75,False
298,51,24,84,111,102,True
299,18,59,99,412,54,True
300,21,141,13,40,78,False
301,21,427,3,37,59,True
302,18,120,157,161,85,False
303,222,102,161,267,122,True
304,429,19,90,98,254,False
305,498,121,4,17,27,True
306,18,79,14,267,54,False
307,18,32,131,497,31,True
308,498,28,92,12,420,False
309,202,24,7,150,83,True
310,67,427,1,117,86,False
311,51,154,115,12,31,True
312,67,141,84,44,10,False
313,18,113,84,117,80,True
314,222,421,61,432,420,True
315,22,254,99,412,85,False
316,18,120,69,16,86,False
317,22,59,105,40,202,True
318,15,11,45,516,17,False
319,18,102,25,497,83,True
320,67,141,69,117,75,False
321,222,9,61,497,157,True
322,67,19,90,53,31,True
323,29,76,4,44,86,False
324,29,141,103,432,150,True
325,18,24,8,40,126,False
326,498,19,163,201,111,False
327,67,59,157,53,27,True
328,202,113,90,143,57,False
329,67,78,134,412,92,True
330,42,33,238,44,164,False
331,15,141,115,201,24,True
332,51,104,38,267,78,False
333,18,113,103,40,86,True
334,110,107,55,412,92,False
335,21,121,157,89,84,True
336,110,131,4,25,86,False
337,17,120,30,89,150,True
338,81,64,45,223,10,False
339,18,121,112,111,92,True
340,51,31,115,37,516,False
341,18,131,238,497,102,True
342,133,31,236,412,122,False
343,18,19,245,267,92,False
344,96,141,69,40,24,True
345,202,427,238,25,80,True
346,51,19,84,14,122,False
347,22,11,34,16,75,False
348,21,106,99,516,58,True
349,18,79,84,37,41,True
350,18,141,90,427,10,True
351,110,5,161,432,59,False
352,18,36,45,412,150,True
353,429,5,61,40,59,False
354,202,32,99,37,24,False
355,67,5,45,412,240,True
356,157,79,115,40,236,False
357,222,11,7,143,98,True
358,96,19,90,26,24,True
359,67,20,50,53,92,False
360,18,59,84,40,57,True
361,29,121,55,111,48,False
362,21,11,268,37,75,False
363,22,64,131,117,6,True
364,18,154,1,12,516,False
365,222,19,103,201,6,True
366,119,107,63,89,75,True
367,498,77,238,201,24,False
368,119,121,245,12,86,True
369,96,59,38,25,516,False
370,29,79,69,40,133,True
371,119,79,131,412,164,True
372,67,121,91,40,516,False
373,222,120,157,25,126,True
374,81,154,105,143,86,True
375,110,5,69,412,266,False
376,222,28,13,412,58,True
377,110,113,236,16,24,False
378,119,254,3,117,126,False
379,18,35,103,143,92,True
380,81,24,61,1,48,True
381,21,64,268,53,54,False
382,498,141,134,201,420,False
383,222,19,157,412,80,True
384,15,154,238,267,48,False
385,498,77,84,44,92,True
386,222,11,8,117,164,True
387,236,31,99,26,69,False
388,18,19,38,16,23,False
389,119,106,34,432,2,True
